Település,Vármegye,Rang,Lakosságszám (fő),Wikipedia link
Hernád,Pest,Nagyközség,4120,https://hu.wikipedia.org/wiki/Hernád_(település)
Imrehegy,Bács-Kiskun,Község,650,https://hu.wikipedia.org/wiki/Imrehegy
Inárcs,Pest,Nagyközség,4510,https://hu.wikipedia.org/wiki/Inárcs
Izsák,Bács-Kiskun,Város,5448,https://hu.wikipedia.org/wiki/Izsák
Jakabszállás,Bács-Kiskun,Község,2560,https://hu.wikipedia.org/wiki/Jakabszállás
Jánoshalma,Bács-Kiskun,Város,7997,https://hu.wikipedia.org/wiki/Jánoshalma
Jászkarajenő,Pest,Község,2610,https://hu.wikipedia.org/wiki/Jászkarajenő
Jászszentlászló,Bács-Kiskun,Község,2355,https://hu.wikipedia.org/wiki/Jászszentlászló
Kakucs,Pest,Nagyközség,3110,https://hu.wikipedia.org/wiki/Kakucs
Kaskantyú,Bács-Kiskun,Község,940,https://hu.wikipedia.org/wiki/Kaskantyú
Kecel,Bács-Kiskun,Város,8200,https://hu.wikipedia.org/wiki/Kecel
Kecskemét,Bács-Kiskun,Megyei jogú város,107810,https://hu.wikipedia.org/wiki/Kecskemét
Kelebia,Bács-Kiskun,Község,2135,https://hu.wikipedia.org/wiki/Kelebia_(Magyarország)
Kéleshalom,Bács-Kiskun,Község,410,https://hu.wikipedia.org/wiki/Kéleshalom
Kerekegyháza,Bács-Kiskun,Város,5621,https://hu.wikipedia.org/wiki/Kerekegyháza
Kiskőrös,Bács-Kiskun,Város,13813,https://hu.wikipedia.org/wiki/Kiskőrös
Kiskunfélegyháza,Bács-Kiskun,Város,29018,https://hu.wikipedia.org/wiki/Kiskunfélegyháza
Kiskunhalas,Bács-Kiskun,Város,26420,https://hu.wikipedia.org/wiki/Kiskunhalas
Kiskunmajsa,Bács-Kiskun,Város,11018,https://hu.wikipedia.org/wiki/Kiskunmajsa
Kisszállás,Bács-Kiskun,Község,2210,https://hu.wikipedia.org/wiki/Kisszállás
Kistelek,Csongrád-Csanád,Város,6810,https://hu.wikipedia.org/wiki/Kistelek
Kocsér,Pest,Község,1820,https://hu.wikipedia.org/wiki/Kocsér
Kömpöc,Bács-Kiskun,Község,640,https://hu.wikipedia.org/wiki/Kömpöc
Kunadacs,Bács-Kiskun,Község,1390,https://hu.wikipedia.org/wiki/Kunadacs
Kunbaja,Bács-Kiskun,Község,1390,https://hu.wikipedia.org/wiki/Kunbaja
Kunbaracs,Bács-Kiskun,Község,630,https://hu.wikipedia.org/wiki/Kunbaracs
Kunfehértó,Bács-Kiskun,Község,1970,https://hu.wikipedia.org/wiki/Kunfehértó
Kunpeszér,Bács-Kiskun,Község,660,https://hu.wikipedia.org/wiki/Kunpeszér
Kunszállás,Bács-Kiskun,Község,1630,https://hu.wikipedia.org/wiki/Kunszállás
Ladánybene,Bács-Kiskun,Község,1540,https://hu.wikipedia.org/wiki/Ladánybene
Lajosmizse,Bács-Kiskun,Város,11157,https://hu.wikipedia.org/wiki/Lajosmizse
Lakitelek,Bács-Kiskun,Nagyközség,4330,https://hu.wikipedia.org/wiki/Lakitelek
Madaras,Bács-Kiskun,Község,2460,https://hu.wikipedia.org/wiki/Madaras
Mélykút,Bács-Kiskun,Város,4624,https://hu.wikipedia.org/wiki/Mélykút_(Bács-Kiskun_vármegye)
Mikebuda,Pest,Község,710,https://hu.wikipedia.org/wiki/Mikebuda
Mórahalom,Csongrád-Csanád,Város,6510,https://hu.wikipedia.org/wiki/Mórahalom
Móricgát,Bács-Kiskun,Község,390,https://hu.wikipedia.org/wiki/Móricgát
Nagykőrös,Pest,Város,22915,https://hu.wikipedia.org/wiki/Nagykőrös
Nemesnádudvar,Bács-Kiskun,Község,1740,https://hu.wikipedia.org/wiki/Nemesnádudvar
Nyáregyháza,Pest,Nagyközség,3710,https://hu.wikipedia.org/wiki/Nyáregyháza
Nyárlőrinc,Bács-Kiskun,Község,2290,https://hu.wikipedia.org/wiki/Nyárlőrinc
Nyársapát,Pest,Község,2030,https://hu.wikipedia.org/wiki/Nyársapát
Ócsa,Pest,Város,9640,https://hu.wikipedia.org/wiki/Ócsa
Ópusztaszer,Csongrád-Csanád,Község,2210,https://hu.wikipedia.org/wiki/Ópusztaszer
Orgovány,Bács-Kiskun,Község,2240,https://hu.wikipedia.org/wiki/Orgovány
Örkény,Pest,Város,4810,https://hu.wikipedia.org/wiki/Örkény_(település)
Öttömös,Csongrád-Csanád,Község,690,https://hu.wikipedia.org/wiki/Öttömös
Páhi,Bács-Kiskun,Község,1180,https://hu.wikipedia.org/wiki/Páhi
Pálmonostora,Bács-Kiskun,Község,1670,https://hu.wikipedia.org/wiki/Pálmonostora
Petőfiszállás,Bács-Kiskun,Község,1420,https://hu.wikipedia.org/wiki/Petőfiszállás
Pilis,Pest,Város,11930,https://hu.wikipedia.org/wiki/Pilis_(település)
Pirtó,Bács-Kiskun,Község,930,https://hu.wikipedia.org/wiki/Pirtó
Pusztamérges,Csongrád-Csanád,Község,1110,https://hu.wikipedia.org/wiki/Pusztamérges
Pusztaszer,Csongrád-Csanád,Község,1410,https://hu.wikipedia.org/wiki/Pusztaszer
Pusztavacs,Pest,Község,1310,https://hu.wikipedia.org/wiki/Pusztavacs
Rém,Bács-Kiskun,Község,1180,https://hu.wikipedia.org/wiki/Rém
Röszke,Csongrád-Csanád,Község,3120,https://hu.wikipedia.org/wiki/Röszke
Ruzsa,Csongrád-Csanád,Község,2310,https://hu.wikipedia.org/wiki/Ruzsa
Soltvadkert,Bács-Kiskun,Város,7348,https://hu.wikipedia.org/wiki/Soltvadkert
Sükösd,Bács-Kiskun,Nagyközség,3343,https://hu.wikipedia.org/wiki/Sükösd
Szabadszállás,Bács-Kiskun,Város,5957,https://hu.wikipedia.org/wiki/Szabadszállás
Szank,Bács-Kiskun,Község,2230,https://hu.wikipedia.org/wiki/Szank
Szatymaz,Csongrád-Csanád,Község,4930,https://hu.wikipedia.org/wiki/Szatymaz
Szentkirály,Bács-Kiskun,Község,1830,https://hu.wikipedia.org/wiki/Szentkirály_(Bács-Kiskun_vármegye)
Tabdi,Bács-Kiskun,Község,1020,https://hu.wikipedia.org/wiki/Tabdi
Táborfalva,Pest,Nagyközség,3240,https://hu.wikipedia.org/wiki/Táborfalva
Tápiószőlős,Pest,Község,2910,https://hu.wikipedia.org/wiki/Tápiószőlős
Tatárszentgyörgy,Pest,Község,1830,https://hu.wikipedia.org/wiki/Tatárszentgyörgy
Tázlár,Bács-Kiskun,Község,1680,https://hu.wikipedia.org/wiki/Tázlár
Tiszaalpár,Bács-Kiskun,Nagyközség,4736,https://hu.wikipedia.org/wiki/Tiszaalpár
Tiszakécske,Bács-Kiskun,Város,11021,https://hu.wikipedia.org/wiki/Tiszakécske
Tompa,Bács-Kiskun,Város,4233,https://hu.wikipedia.org/wiki/Tompa_(Magyarország)
Törtel,Pest,Nagyközség,4210,https://hu.wikipedia.org/wiki/Törtel
Újhartyán,Pest,Város,2730,https://hu.wikipedia.org/wiki/Újhartyán
Újlengyel,Pest,Község,1710,https://hu.wikipedia.org/wiki/Újlengyel
Üllés,Csongrád-Csanád,Község,3110,https://hu.wikipedia.org/wiki/Üllés
Városföld,Bács-Kiskun,Község,2089,https://hu.wikipedia.org/wiki/Városföld
Zákányszék,Csongrád-Csanád,Község,2610,https://hu.wikipedia.org/wiki/Zákányszék
Zsana,Bács-Kiskun,Község,690,https://hu.wikipedia.org/wiki/Zsana
Zsombó,Csongrád-Csanád,Község,3410,https://hu.wikipedia.org/wiki/Zsombó
