Kategória,Név,Latin név,Védett,Természetvédelmi státusz,Természetvédelmi érték (Ft),Wikipedia link
Lepkék,Csőröslepke,Libythea celtis,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Csőröslepke
Lepkék,Közönséges ökörszemlepke,Hyponephele lupina,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Közönséges_ökörszemlepke
Lepkék,Közönséges szemeslepke,Arethusana arethusa,Nem,Mérsékelten fenyegetett,0,https://hu.wikipedia.org/wiki/Közönséges_szemeslepke
Lepkék,Nagy ökörszemlepke,Hipparchia fagi,Nem,Mérsékelten fenyegetett,0,https://hu.wikipedia.org/wiki/Nagy_ökörszemlepke
Lepkék,Szürkés szemeslepke,Neohipparchia statilinus,Nem,Mérsékelten fenyegetett,0,https://hu.wikipedia.org/wiki/Szürkés_szemeslepke
Lepkék,Dél-alföldi sakktáblalepke,Melanargia galathea ssp. bugacensis,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Sakktáblalepke
Madarak,Kis vöcsök,Podiceps ruficollis Pallas,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Kis_vöcsök
Madarak,Feketenyakú vöcsök,Podiceps nigricollis Brehm,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Feketenyakú_vöcsök
Madarak,Vörösnyakú vöcsök,Podiceps griseigena B.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Vörösnyakú_vöcsök
Madarak,Búbos vöcsök,Podiceps cristatus L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Búbos_vöcsök
Madarak,Kárókatona,Phalacrocorax carbo L.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Kárókatona
Madarak,Rózsás gödény,Pelecanus onocrotalus L.,Fokozottan védett,Nem fenyegetett,500000,https://hu.wikipedia.org/wiki/Rózsás_gödény
Madarak,Szürke gém,Ardea cinerea L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Szürke_gém
Madarak,Vörös gém,Ardea purpurea L.,Fokozottan védett,Nem fenyegetett,250000,https://hu.wikipedia.org/wiki/Vörös_gém
Madarak,Üstökös gém,Ardeola ralloides Scopoli,Fokozottan védett,Mérsékelten fenyegetett,500000,https://hu.wikipedia.org/wiki/Üstökös_gém
Madarak,Nagy kócsag,Egretta alba L.,Fokozottan védett,Nem fenyegetett,100000,https://hu.wikipedia.org/wiki/Nagy_kócsag
Madarak,Kis kócsag,Egretta garzetta L.,Fokozottan védett,Nem fenyegetett,250000,https://hu.wikipedia.org/wiki/Kis_kócsag
Madarak,Bakcsó,Nycticorax nycticorax L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Bakcsó
Madarak,Törpegém,Ixobrychus minutus L.,Védett,Nem fenyegetett,100000,https://hu.wikipedia.org/wiki/Törpegém
Madarak,Bölömbika,Botaurus stellaris L.,Fokozottan védett,Nem fenyegetett,100000,https://hu.wikipedia.org/wiki/Bölömbika
Madarak,Fehér gólya,Ciconia ciconia L.,Fokozottan védett,Nem fenyegetett,100000,https://hu.wikipedia.org/wiki/Fehér_gólya
Madarak,Batla,Plegadis falcinellus L.,Fokozottan védett,Nem fenyegetett,500000,https://hu.wikipedia.org/wiki/Batla
Madarak,Kanalasgém,Platalea leucorodia L.,Fokozottan védett,Nem fenyegetett,500000,https://hu.wikipedia.org/wiki/Kanalasgém
Madarak,Bütykös hattyú,Cygnus olor L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Bütykös_hattyú
Madarak,Nyári lúd,Anser anser L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Nyári_lúd
Madarak,Nagy lilik,Anser albifrons Scopoli,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Nagy_lilik
Madarak,Vetési lúd,Anser fabalis Latham,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Vetési_lúd
Madarak,Tőkés réce,Anas platyrhynchos L.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Tőkés_réce
Madarak,Böjti réce,Anas querquedula L.,Védett,Nem fenyegetett,100000,https://hu.wikipedia.org/wiki/Böjti_réce
Madarak,Csörgő réce,Anas crecca L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Csörgő_réce
Madarak,Fütyülő réce,Anas penelope L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Fütyülő_réce
Madarak,Nyílfarkú réce,Anas acuta L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Nyílfarkú_réce
Madarak,Kanalas réce,Anas clypeata L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Kanalas_réce
Madarak,Barátréce,Aythya ferina L.,Védett,Sebezhető,50000,https://hu.wikipedia.org/wiki/Barátréce
Madarak,Cigányréce,Aythya nyroca Guldenstein,Fokozottan védett,Mérsékelten fenyegetett,500000,https://hu.wikipedia.org/wiki/Cigányréce
Madarak,Kerceréce,Bucephala clangula L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Kerceréce
Madarak,Örvös bukó,Mergus serrator L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Örvös_bukó
Madarak,Héja,Accipiter gentilis L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Héja
Madarak,Karvaly,Accipiter nisus L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Karvaly
Madarak,Egerészölyv,Buteo buteo L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Egerészölyv
Madarak,Kékes rétihéja,Circus cyaneus L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Kékes_rétihéja
Madarak,Barna rétihéja,Circus aeruginosus L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Barna_rétihéja
Madarak,Halászsas,Pandion haliaetus L.,Fokozottan védett,Nem fenyegetett,500000,https://hu.wikipedia.org/wiki/Halászsas
Madarak,Kabasólyom,Falco subbuteo L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Kabasólyom
Madarak,Kék vércse,Falco vespertinus L.,Fokozottan védett,Sebezhető,500000,https://hu.wikipedia.org/wiki/Kék_vércse
Madarak,Vörös vércse,Falco tinnunculus L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Vörös_vércse
Madarak,Fogoly,Perdix perdix L.,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Fogoly
Madarak,Fürj,Coturnix coturnix L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Fürj
Madarak,Fácán,Phasianus colchicus L.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Fácán
Madarak,Daru,Grus grus L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Daru
Madarak,Guvat,Rallus aquaticus L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Guvat
Madarak,Pettyes vízicsibe,Porzana porzana L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Pettyes_vízicsibe
Madarak,Vízityúk,Gallinula chloropus L.,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Vízityúk
Madarak,Szárcsa,Fulica atra L.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Szárcsa
Madarak,Bíbic,Vanellus vanellus L.,Védett,Mérsékelten fenyegetett,50000,https://hu.wikipedia.org/wiki/Bíbic
Madarak,Nagy póling,Numenius arquata L.,Fokozottan védett,Mérsékelten fenyegetett,500000,https://hu.wikipedia.org/wiki/Nagy_póling
Madarak,Nagy goda,Limosa limosa L.,Fokozottan védett,Mérsékelten fenyegetett,250000,https://hu.wikipedia.org/wiki/Nagy_goda
Madarak,Piroslábú cankó,Tringa totanus L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Piroslábú_cankó
Madarak,Erdei cankó,Tringa ochropus L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Erdei_cankó
Madarak,Billegető cankó,Tringa hypoleucos L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Billegető_cankó
Madarak,Közép sárszalonka,Gallinago gallinago L.,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Sárszalonka
Madarak,Kis sárszalonka,Lymnocryptes minimus Brünnich,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Kis_sárszalonka
Madarak,Pajzsoscankó,Philomachus pugnax L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Pajzsoscankó
Madarak,Gulipán,Recurvirostra avosetta L.,Fokozottan védett,Nem fenyegetett,250000,https://hu.wikipedia.org/wiki/Gulipán
Madarak,Kis sirály,Larus minutus L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Kis_sirály
Madarak,Dankasirály,Larus ridibundus L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Dankasirály
Madarak,Ezüstsirály,Larus argentatus Pontoppidan,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Ezüstsirály
Madarak,Fehérarcú szerkő,Chlidonias hybrida Pallas,Védett,Nem fenyegetett,100000,https://hu.wikipedia.org/wiki/Fehérarcú_szerkő
Madarak,Fehérszárnyú szerkő,Chlidonias leucopterus Temm.,Védett,Nem fenyegetett,100000,https://hu.wikipedia.org/wiki/Fehérszárnyú_szerkő
Madarak,Kormos szerkő,Chlidonias niger L.,Védett,Nem fenyegetett,100000,https://hu.wikipedia.org/wiki/Kormos_szerkő
Madarak,Küszvágó csér,Sterna hirundo L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Küszvágó_csér
Madarak,Örvös galamb,Columba palumbus L.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Örvös_galamb
Madarak,Vadgerle,Streptopelia turtur L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Vadgerle
Madarak,Balkáni gerle,Streptopelia decaocto Frivald.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Balkáni_gerle
Madarak,Kakukk,Cuculus canorus L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Kakukk
Madarak,Kuvik,Athene noctua Scopoli,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Kuvik
Madarak,Erdei fülesbagoly,Asio otus L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Erdei_fülesbagoly
Madarak,Réti fülesbagoly,Asio flammeus Pontoppidan,Fokozottan védett,Nem fenyegetett,250000,https://hu.wikipedia.org/wiki/Réti_fülesbagoly
Madarak,Sarlósfecske,Apus apus L.,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Sarlósfecske
Madarak,Gyurgyalag,Merops apiaster L.,Fokozottan védett,Nem fenyegetett,100000,https://hu.wikipedia.org/wiki/Gyurgyalag
Madarak,Búbos banka,Upupa epops L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Búbos_banka
Madarak,Szalakóta,Coracias garrulus L.,Fokozottan védett,Nem fenyegetett,500000,https://hu.wikipedia.org/wiki/Szalakóta
Madarak,Zöld küllő,Picus viridis L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Zöld_küllő
Madarak,Balkáni fakopáncs,Dendrocopos syriacus Ehrenh.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Balkáni_fakopáncs
Madarak,Búbos pacsirta,Galerida cristata L.,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Búbos_pacsirta
Madarak,Mezei pacsirta,Alauda arvensis L.,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Mezei_pacsirta
Madarak,Füstifecske,Hirundo rustica L.,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Füstifecske
Madarak,Partifecske,Riparia riparia L.,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Partifecske
Madarak,Sárgarigó,Oriolus oriolus L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Sárgarigó
Madarak,Szajkó,Garrulus glandarius L.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Szajkó
Madarak,Szarka,Pica pica L.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Szarka
Madarak,Dolmányos varjú,Corvus corone cornix L.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Dolmányos_varjú
Madarak,Vetési varjú,Corvus frugilegus L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Vetési_varjú
Madarak,Csóka,Corvus monedula L.,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Csóka
Madarak,Holló,Corvus corax L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Holló
Madarak,Kék cinege,Parus caeruleus L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Kék_cinege
Madarak,Széncinege,Parus major L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Széncinege
Madarak,Függőcinege,Remiz pendulinus L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Függőcinege
Madarak,Barkóscinege,Panurus biarmicus L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Barkóscinege
Madarak,Ökörszem,Troglodytes troglodytes L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Ökörszem
Madarak,Fenyőrigó,Turdus pilaris L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Fenyőrigó
Madarak,Fekete rigó,Turdus merula L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Fekete_rigó
Madarak,Hantmadár,Oenanthe oenanthe L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Hantmadár
Madarak,Cigány-csaláncsúcs,Saxicola torquata L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Cigánycsuk
Madarak,Kerti rozsdafarkú,Phoenicurus phoenicurus L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Kerti_rozsdafarkú
Madarak,Fülemüle,Luscinia megarhynchos Brehm,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Fülemüle
Madarak,Vörösbegy,Erithacus rubecula L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Vörösbegy
Madarak,Nádi tücsökmadár,Locustella luscinioides Savig.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Nádi_tücsökmadár
Madarak,Nádirigó,Acrocephalus arundinaceus L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Nádirigó
Madarak,Cerregő nádiposzáta,Acrocephalus scirpaceus Hermann,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Cserregő_nádiposzáta
Madarak,Foltos nádiposzáta,Acrocephalus schoenobaenus L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Foltos_nádiposzáta
Madarak,Kis poszáta,Sylvia curruca L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Kis_poszáta
Madarak,Csilp-csalp füzike,Phylloscopus collybita Vieillot,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Csilp-csalp_füzike
Madarak,Sárgafejű királyka,Regulus regulus L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Sárgafejű_királyka
Madarak,Szürke légykapó,Muscicapa striata Pallas,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Szürke_légykapó
Madarak,Réti pityer,Anthus pratensis L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Réti_pityer
Madarak,Barázdabillegető,Motacilla alba L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Barázdabillegető
Madarak,Sárga billegető,Motacilla flava L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Sárga_billegető
Madarak,Nagy őrgébics,Lanius excubitor L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Nagy_őrgébics
Madarak,Kis őrgébics,Lanius minor L.,Fokozottan védett,Nem fenyegetett,250000,https://hu.wikipedia.org/wiki/Kis_őrgébics
Madarak,Tövisszúró gébics,Lanius collurio L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Tövisszúró_gébics
Madarak,Seregély,Sturnus vulgaris L.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Seregély
Madarak,Házi veréb,Passer domesticus L.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Házi_veréb
Madarak,Mezei veréb,Passer montanus L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Mezei_veréb
Madarak,Zöldike,Chloris chloris L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Zöldike
Madarak,Tengelic,Carduelis carduelis L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Tengelic
Madarak,Csicsörke,Serinus serinus L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Csicsörke
Madarak,Süvöltő,Pyrrhula pyrrhula L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Süvöltő
Madarak,Sordély,Emberiza calandra L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Sordély
Madarak,Erdei pinty,Fringilla coelebs L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Erdei_pinty
Madarak,Citromsármány,Emberiza citrinella L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Citromsármány
Madarak,Nádi sármány,Emberiza schoeniclus L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Nádi_sármány
Madarak,Sarkantyús sármány,Calcarius lapponicus L.,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Sarkantyús_sármány
Madarak,Halványgeze,Hippolais pallida,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Halvány_geze
Madarak,Balkáni gerle,Streptopelia decaocto,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Balkáni_gerle
Madarak,Túzok,Otis tarda L.,Fokozottan védett,Sebezhető,1000000,https://hu.wikipedia.org/wiki/Túzok
Növények,Tündérfátyol,Nymphoides peltata,Igen,Védett,10000,https://hu.wikipedia.org/wiki/Tündérfátyol
Növények,Vízi tök,Nuphar luteum,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Sárga_tündérrózsa
Növények,Vidrafű,Menyanthes trifoliata,Igen,Védett,10000,https://hu.wikipedia.org/wiki/Vidrafű
